SKU,Laboratorio,AnoMes,PecasVendidas,Danificado,Defeito,ErroOperacional,Excecao,ExcecaoDiamante,Garantia,NaoOrcado,ServicoDesfeito
26268,Salvador Shopping,2025-01,5,,1,,,,,,
24387,Salvador Shopping,2025-01,3,,,,,,,,
25160,Salvador Shopping,2025-01,3,,,,,,,,
24111,Salvador Shopping,2025-01,3,,,,,,,,
25489,Salvador Shopping,2025-01,3,,,,,,,,
26598,Salvador Shopping,2025-01,3,,,,,,,,
21513,Salvador Shopping,2025-01,2,,,,,,1,,
22756,Salvador Shopping,2025-01,2,,,,,,,,
26270,Salvador Shopping,2025-01,2,,1,,,,,,
26399,Salvador Shopping,2025-01,2,,,,,,,,
25749,Salvador Shopping,2025-01,2,,,,,,,,
25435,Salvador Shopping,2025-01,2,,,,,,,,
24112,Salvador Shopping,2025-01,2,,,,,,,,
24765,Salvador Shopping,2025-01,2,,,,,,,,
26185,Salvador Shopping,2025-01,2,,,,,,,,
26593,Salvador Shopping,2025-01,2,,,,,,,,
26769,Salvador Shopping,2025-01,2,,1,,,,,,
23969,Salvador Shopping,2025-01,1,,,,,,,,
26815,Salvador Shopping,2025-01,1,,1,,,,,,
21286,Salvador Shopping,2025-01,1,,,,,,,,
21696,Salvador Shopping,2025-01,1,,,,,,,,1
23285,Salvador Shopping,2025-01,1,,,,,,1,,
23286,Salvador Shopping,2025-01,1,,,,,,,,
25288,Salvador Shopping,2025-01,1,,3,,,,,,
25368,Salvador Shopping,2025-01,1,,,,,,,,
25373,Salvador Shopping,2025-01,1,,,,,,,,
26721,Salvador Shopping,2025-01,1,,,,,,,,
26954,Salvador Shopping,2025-01,1,,,,,,,,
26955,Salvador Shopping,2025-01,1,,,,,,,,
4380,Salvador Shopping,2025-01,1,,,,,,,,
8157,Salvador Shopping,2025-01,1,,,,,,,,
23904,Salvador Shopping,2025-01,1,,,,,,,,
23905,Salvador Shopping,2025-01,1,,,,,,,,
23981,Salvador Shopping,2025-01,1,,,,,,,,
24033,Salvador Shopping,2025-01,1,,,,,,,,
24806,Salvador Shopping,2025-01,1,,,,,,,,
25449,Salvador Shopping,2025-01,1,,,,,,,,
25756,Salvador Shopping,2025-01,1,,,,,,,,
26244,Salvador Shopping,2025-01,1,,,,,,,,
21312,Salvador Shopping,2025-01,1,,,,,,,,
23911,Salvador Shopping,2025-01,1,,,,,,,,
23966,Salvador Shopping,2025-01,1,,,,,,,,
23982,Salvador Shopping,2025-01,1,,,,,,,,
24023,Salvador Shopping,2025-01,1,,,,,,,,
24117,Salvador Shopping,2025-01,1,,,,,,,,
24606,Salvador Shopping,2025-01,1,,,,,,,,
24619,Salvador Shopping,2025-01,1,,,,,,,,
24653,Salvador Shopping,2025-01,1,,,,,,,,
25726,Salvador Shopping,2025-01,1,,,,,,,,
26218,Salvador Shopping,2025-01,1,,,,,,,,
26220,Salvador Shopping,2025-01,1,,,,,,,,
26294,Salvador Shopping,2025-01,1,,,,,,,,
27068,Salvador Shopping,2025-01,1,,,,,,,,
27786,Salvador Shopping,2025-01,1,,,,,,,,
23919,Salvador Shopping,2025-01,1,,,,,,,,
23945,Salvador Shopping,2025-01,1,,,,,,,,
25490,Salvador Shopping,2025-01,1,,,,1,,,,
25492,Salvador Shopping,2025-01,1,,,,,,,,
25495,Salvador Shopping,2025-01,1,,,,,,,,
25796,Salvador Shopping,2025-01,1,,,,,,,,
26412,Salvador Shopping,2025-01,1,,,,,,,,
25229,Salvador Shopping,2025-01,1,,,,,,,,
23915,Salvador Shopping,2025-01,1,,,,,,,,
23918,Salvador Shopping,2025-01,1,,,,,,,,
23963,Salvador Shopping,2025-01,1,,,,,,,,
24108,Salvador Shopping,2025-01,1,,1,,,,,,
24109,Salvador Shopping,2025-01,1,,,,,,,,
24328,Salvador Shopping,2025-01,1,,2,,,,,,
24888,Salvador Shopping,2025-01,1,,1,,,,,,
24892,Salvador Shopping,2025-01,1,,,,,,,,
25018,Salvador Shopping,2025-01,1,,,,,,,,
25487,Salvador Shopping,2025-01,1,,,,1,,,,
25753,Salvador Shopping,2025-01,1,,,,,,,,
26183,Salvador Shopping,2025-01,1,,,,,,,,
26599,Salvador Shopping,2025-01,1,,1,,,,,,
26767,Salvador Shopping,2025-01,1,,1,,,,,,
27097,Salvador Shopping,2025-01,1,,,,,,,,
20755,Salvador Shopping,2025-01,1,,,,,,,,
22595,Salvador Shopping,2025-01,1,,,,,,,,
25415,Salvador Shopping,2025-01,1,,,,,,,,
21149,Salvador Shopping,2025-01,,,,,,,,,
21317,Salvador Shopping,2025-01,,,,,,,,,
21914,Salvador Shopping,2025-01,,,,,,,,,
21921,Salvador Shopping,2025-01,,,,,,,,,
23991,Salvador Shopping,2025-01,,,,,,,,,
24682,Salvador Shopping,2025-01,,,,,,,,,
26384,Salvador Shopping,2025-01,,,,,,,,,
26385,Salvador Shopping,2025-01,,,,,,,,,
26386,Salvador Shopping,2025-01,,,,,,,,,
26387,Salvador Shopping,2025-01,,,,,,,,,
27188,Salvador Shopping,2025-01,,,,,,,,,
3751,Salvador Shopping,2025-01,,,,,,,,,
4353,Salvador Shopping,2025-01,,,,,,,,,
4658,Salvador Shopping,2025-01,,,,,,,,,
1712,Salvador Shopping,2025-01,,,,,,,,,
24739,Salvador Shopping,2025-01,,,,,,,,,
21295,Salvador Shopping,2025-01,,,,,,,,,
21296,Salvador Shopping,2025-01,,,,,,,,,
21510,Salvador Shopping,2025-01,,,,,,,,,
21511,Salvador Shopping,2025-01,,,,,,,,,
21512,Salvador Shopping,2025-01,,,,,,,,,
21514,Salvador Shopping,2025-01,,,,,,,,,
21557,Salvador Shopping,2025-01,,,,,,,,,
21691,Salvador Shopping,2025-01,,,,,,,,,
21698,Salvador Shopping,2025-01,,,,,,,,,
22597,Salvador Shopping,2025-01,,,,,,,,,
23284,Salvador Shopping,2025-01,,,,,,,,,
24204,Salvador Shopping,2025-01,,,,,,,,,
24534,Salvador Shopping,2025-01,,,,,,,,,
24579,Salvador Shopping,2025-01,,,,,,,,,
24714,Salvador Shopping,2025-01,,,,,,,,,
24900,Salvador Shopping,2025-01,,,,,,,,,
25755,Salvador Shopping,2025-01,,,,,,,,,
26094,Salvador Shopping,2025-01,,,,,,,,,
26269,Salvador Shopping,2025-01,,,,,,,,,
26278,Salvador Shopping,2025-01,,,,,,,,,
26400,Salvador Shopping,2025-01,,,,,,,,,
26722,Salvador Shopping,2025-01,,,,,,,,,
26723,Salvador Shopping,2025-01,,,,,,,,,
26829,Salvador Shopping,2025-01,,,,,,,,,
26944,Salvador Shopping,2025-01,,,,,,,,,
26945,Salvador Shopping,2025-01,,,,,,,,,
26946,Salvador Shopping,2025-01,,,,,,,,,
26948,Salvador Shopping,2025-01,,,,,,,,,
26949,Salvador Shopping,2025-01,,,,,,,,,
26950,Salvador Shopping,2025-01,,,,,,,,,
26951,Salvador Shopping,2025-01,,,,,,,,,
26952,Salvador Shopping,2025-01,,,,,,,,,
26953,Salvador Shopping,2025-01,,,,,,,,,
26957,Salvador Shopping,2025-01,,,,,,,,,
26958,Salvador Shopping,2025-01,,,,,,,,,
26959,Salvador Shopping,2025-01,,,,,,,,,
27017,Salvador Shopping,2025-01,,,,,,,,,
27229,Salvador Shopping,2025-01,,,,,,,,,
2725,Salvador Shopping,2025-01,,,,,,,,,
27495,Salvador Shopping,2025-01,,,,,,,,,
27496,Salvador Shopping,2025-01,,,,,,,,,
27497,Salvador Shopping,2025-01,,,,,,,,,
27498,Salvador Shopping,2025-01,,,,,,,,,
27973,Salvador Shopping,2025-01,,,,,,,,,
28414,Salvador Shopping,2025-01,,,,,,,,,
3747,Salvador Shopping,2025-01,,,,,,,,,
4497,Salvador Shopping,2025-01,,,,,,,,,
4728,Salvador Shopping,2025-01,,,,,,,,,
1367,Salvador Shopping,2025-01,,,,,,,,,
1405,Salvador Shopping,2025-01,,,,,,,,,
20717,Salvador Shopping,2025-01,,,,,,,,,
20875,Salvador Shopping,2025-01,,,,,,,,,
20877,Salvador Shopping,2025-01,,,,,,,,,
21080,Salvador Shopping,2025-01,,,,,,,,,
21113,Salvador Shopping,2025-01,,,,,,,,,
21227,Salvador Shopping,2025-01,,,,,,,,,
21279,Salvador Shopping,2025-01,,,,,,,,,
21905,Salvador Shopping,2025-01,,,,,,,,,
22002,Salvador Shopping,2025-01,,,,,,,,,
22859,Salvador Shopping,2025-01,,,,,,,,,
23011,Salvador Shopping,2025-01,,,,,,,,,
23907,Salvador Shopping,2025-01,,,,,,,,,
23908,Salvador Shopping,2025-01,,,,,,,,,
23909,Salvador Shopping,2025-01,,,,,,,,,
23921,Salvador Shopping,2025-01,,,,,,,,,
23938,Salvador Shopping,2025-01,,,,,,,,,
23940,Salvador Shopping,2025-01,,,,,,,,,
23941,Salvador Shopping,2025-01,,,,,,,,,
23942,Salvador Shopping,2025-01,,,,,,,,,
23955,Salvador Shopping,2025-01,,,,,,,,,
23956,Salvador Shopping,2025-01,,,,,,,,,
23970,Salvador Shopping,2025-01,,,,,,,,,
23972,Salvador Shopping,2025-01,,,,,,,,,
23978,Salvador Shopping,2025-01,,,,,,,,,
23987,Salvador Shopping,2025-01,,,,,,,,,
23995,Salvador Shopping,2025-01,,,,,,,,,
23997,Salvador Shopping,2025-01,,,,,,,,,
24025,Salvador Shopping,2025-01,,,,,,,,,
24027,Salvador Shopping,2025-01,,,,,,,,,
24032,Salvador Shopping,2025-01,,,,,,,,,
24121,Salvador Shopping,2025-01,,,,,,,,,
24134,Salvador Shopping,2025-01,,,,,,,,,
24412,Salvador Shopping,2025-01,,,,,,,,,
24413,Salvador Shopping,2025-01,,,,,,,,,
24422,Salvador Shopping,2025-01,,,,,,,,,
24426,Salvador Shopping,2025-01,,,,,,,,,
24431,Salvador Shopping,2025-01,,,,,,,,,
24435,Salvador Shopping,2025-01,,,,,,,,,
24438,Salvador Shopping,2025-01,,,,,,,,,
24439,Salvador Shopping,2025-01,,,,,,,,,
24449,Salvador Shopping,2025-01,,,,,,,,,
24596,Salvador Shopping,2025-01,,,,,,,,,
24598,Salvador Shopping,2025-01,,,,,,,,,
24599,Salvador Shopping,2025-01,,,,,,,,,
24600,Salvador Shopping,2025-01,,,,,,,,,
24602,Salvador Shopping,2025-01,,,,,,,,,
24603,Salvador Shopping,2025-01,,,,,,,,,
24766,Salvador Shopping,2025-01,,,,,,,,,
24767,Salvador Shopping,2025-01,,,,,,,,,
24808,Salvador Shopping,2025-01,,,,,,,,,
24809,Salvador Shopping,2025-01,,,,,,,,,
24811,Salvador Shopping,2025-01,,,,,,,,,
24812,Salvador Shopping,2025-01,,,,,,,,,
24814,Salvador Shopping,2025-01,,,,,,,,,
25104,Salvador Shopping,2025-01,,,,,,,,,
25178,Salvador Shopping,2025-01,,,,,,,,,
25228,Salvador Shopping,2025-01,,,,,,,,,
25232,Salvador Shopping,2025-01,,,,,,,,,
25247,Salvador Shopping,2025-01,,,,,,,,,
25248,Salvador Shopping,2025-01,,,,,,,,,
25265,Salvador Shopping,2025-01,,,,,,,,,
25266,Salvador Shopping,2025-01,,,,,,,,,
25267,Salvador Shopping,2025-01,,,,,,,,,
25273,Salvador Shopping,2025-01,,,,,,,,,
25450,Salvador Shopping,2025-01,,,,,,,,,
25451,Salvador Shopping,2025-01,,,,,,,,,
25718,Salvador Shopping,2025-01,,,,,,,,,
25719,Salvador Shopping,2025-01,,,,,,,,,
25720,Salvador Shopping,2025-01,,,,,,,,,
25721,Salvador Shopping,2025-01,,,,,,,,,
25722,Salvador Shopping,2025-01,,,,,,,,,
25723,Salvador Shopping,2025-01,,,,,,,,,
25751,Salvador Shopping,2025-01,,,,,,,,,
25752,Salvador Shopping,2025-01,,,,,,,,,
25757,Salvador Shopping,2025-01,,,,,,,,,
25813,Salvador Shopping,2025-01,,,,,,,,,
26092,Salvador Shopping,2025-01,,,,,,,,,
26093,Salvador Shopping,2025-01,,,,,,,,,
26206,Salvador Shopping,2025-01,,,,,,,,,
26207,Salvador Shopping,2025-01,,,,,,,,,
26208,Salvador Shopping,2025-01,,,,,,,,,
26245,Salvador Shopping,2025-01,,,,,,,,,
26367,Salvador Shopping,2025-01,,,,,,,,,
26369,Salvador Shopping,2025-01,,,,,,,,,
26370,Salvador Shopping,2025-01,,,,,,,,,
26371,Salvador Shopping,2025-01,,,,,,,,,
26372,Salvador Shopping,2025-01,,,,,,,,,
26373,Salvador Shopping,2025-01,,,,,,,,,
26374,Salvador Shopping,2025-01,,,,,,,,,
27109,Salvador Shopping,2025-01,,,,,,,,,
27110,Salvador Shopping,2025-01,,,,,,,,,
27111,Salvador Shopping,2025-01,,,,,,,,,
27112,Salvador Shopping,2025-01,,,,,,,,,
27113,Salvador Shopping,2025-01,,,,,,,,,
27114,Salvador Shopping,2025-01,,,,,,,,,
27230,Salvador Shopping,2025-01,,,,,,,,,
27234,Salvador Shopping,2025-01,,,,,,,,,
27235,Salvador Shopping,2025-01,,,,,,,,,
27809,Salvador Shopping,2025-01,,,,,,,,,
27812,Salvador Shopping,2025-01,,,,,,,,,
27814,Salvador Shopping,2025-01,,,,,,,,,
27815,Salvador Shopping,2025-01,,,,,,,,,
27818,Salvador Shopping,2025-01,,,,,,,,,
27821,Salvador Shopping,2025-01,,,,,,,,,
