ID_Loja,Nome_Fantasia,Nome_Sistema,UF,Cidade,Dias_Atendimento,Tempo_de_Entrega
111,Shopping Barra,Laboratorio Hardware - Shopping Barra,BA,Salvador,Terça-Feira,1
239,Shopping Bela Vista,Laboratorio Hardware - Shopping Bela Vista,BA,Salvador,Quarta-Feira,1
198,BH Shopping,Laboratorio Hardware - BH Shopping,MG,Belo Horizonte,Sexta-Feira,5
288,Shopping Belem Boulevard,Laboratorio Hardware - Shopping Belem Boulevard,PA,Belém,Segunda-Feira,5
185,Shopping Iguatemi Fortaleza,Laboratorio Hardware - Shopping Iguatemi Fortaleza,CE,Fortaleza,Terça-Feira,5
131,Shopping Maceio,Laboratorio Hardware - Shopping Maceio,AL,Maceio,Quarta-Feira,5
93,Shopping Paralela,Laboratorio Hardware - Shopping Paralela,BA,Salvador,Terça-Feira,1
346,Parque Shopping Bahia,Laboratorio Hardware - Parque Shopping Bahia,BA,Lauro de Freitas,Quarta-Feira,1
175,Shopping Rio de Janeiro,Laboratorio Hardware - Shopping Rio de Janeiro,RJ,Rio de Janeiro,Sexta-Feira,5
96,Shopping Recife Riomar,Laboratorio Hardware - Shopping Riomar Recife,PE,Recife,Quinta-Feira,5
79,Salvador Shopping,Laboratorio Hardware - Salvador Shopping,BA,Salvador,Terça-Feira,1
87,Shopping da Bahia,Laboratorio Hardware - Shopping da Bahia,BA,Salvador,Quinta-Feira,1
409,Shopping Manauara,Laboratorio Hardware - Shopping Manauara,AM,Manaus,Segunda-Feira,7
366,Shopping Recife,Laboratorio Hardware - Shopping Recife,PE,Recife,Quinta-Feira,5
344,Shopping Vila Velha,Laboratorio Hardware - Shopping Vila Velha,ES,Vila Velha,Segunda-Feira,4
343,Shopping Vitoria,Laboratorio Hardware - Shopping Vitoria,ES,Vitoria,Segunda-Feira,4
89,Shopping Edmilson,Laboratorio Hardware - Shopping Edmilson,BA,Salvador,Segunda-Feira,1
